Stock_ID,Symbol,Company Name,Stock Price,Category,Combined_Fitness_Score,Intrinsic Value,percent_from_instrinsic_value,Rev Gr. Next Y,Lower_limit,Upper_limit,normalized_fitness_score,normalized_percent_change_from_instrinsic_value,normalized_Rev_Gr_Next_Y
305,RCL,Royal Caribbean Cruises Ltd.,127,2,1.81,63.735,-100.0,7.96,2,512,0.181058495821727,0.8718147666802449,0.5150274588117822
40,AZN,AstraZeneca,65,1,3.38,113.6236537,42.0,9.88,2,512,0.6183844011142061,0.9636296626772448,0.5341987019470793
342,EBAY,eBay Inc.,50,2,2.07,29.48364683,-70.84,2.39,2,512,0.2534818941504178,0.8906691495483613,0.4594108836744882
219,ICE,"Intercontinental Exchange, Inc.",138,1,2.81,48.01457718,-188.79,5.66,3,515,0.4596100278551532,0.8144045933311349,0.492061907139291
156,LH,Laboratory Corporation of America Holdings,221,2,2.58,40.8526255,-442.12,3.49,2,512,0.3955431754874652,0.6506055257049379,0.4703944083874188
200,CVS,CVS Health Corporation,75,1,2.38,61.17000714,-22.72,5.96,2,512,0.33983286908078,0.9217827607834008,0.4950574138791812
173,FDS,FactSet Research Systems,458,3,2.66,171.7288522,-167.27,7.04,2,512,0.4178272980501393,0.8283190761611028,0.5058412381427858
102,PAYX,Paychex,128,2,2.75,54.98009626,-133.03,5.98,1,511,0.4428969359331476,0.850458104604323,0.4952571143285071
404,TECH,Bio-Techne Corporation,77,3,2.66,15.0802639,-411.2,8.71,3,513,0.4178272980501393,0.6705978960163973,0.5225162256615077
31,TM,Toyota Motor,185,1,2.4,22.83019391,-712.43,3.84,2,512,0.3454038997214484,0.4758274655855786,0.473889166250624
73,CAT,Caterpillar,267,1,2.85,108.8556798,-146.17,1.04,2,512,0.4707520891364903,0.8419619938057273,0.4459311033449825
169,ALGN,Align Technology,231,3,2.44,179.3622323,-28.99,5.35,5,515,0.3565459610027855,0.9177286805164911,0.4889665501747378
141,FTS,Fortis,41,2,1.95,20.645,-100.0,3.33,1,515,0.2200557103064067,0.8718147666802449,0.4687968047928107
356,ETR,Entergy Corporation,103,2,2.08,0.1,-103250.0,4.05,2,512,0.2562674094707521,0.0,0.4759860209685471
382,TAP,Molson Coors Beverage Company,64,3,1.92,47.89616966,-34.79,1.14,3,513,0.2116991643454039,0.913978494623656,0.4469296055916125
56,BHP,BHP Group,64,1,2.65,0.1,-63950.0,-1.54,2,512,0.415041782729805,0.0,0.4201697453819271
370,ZBRA,Zebra Technologies Corporation,282,3,2.26,141.295,-100.0,8.32,1,511,0.3064066852367688,0.8718147666802449,0.5186220668996505
288,EA,Electronic Arts Inc.,135,2,2.65,218.4249826,38.13,4.81,2,512,0.415041782729805,0.9611273834694392,0.4835746380429355
434,BBWI,"Bath & Body Works, Inc.",54,3,2.17,8.01640178,-458.36,0.69,1,511,0.2813370473537604,0.6401050052049994,0.4424363454817772
83,BUD,Anheuser-Busch InBev,63,1,2.22,1.096207219,-5673.54,-2.0,2,512,0.2952646239554318,0.0,0.4155766350474288
78,GE,General Electric Company,121,1,2.51,0.1,-121080.0,8.99,1,511,0.3760445682451253,0.0,0.5253120319520719
133,ADM,Archer-Daniels-Midland Company,75,2,2.91,0.1,-75160.0,-0.49,2,512,0.4874651810584959,0.0,0.4306540189715426
228,RACE,Ferrari N.V.,420,1,2.63,76.04850436,-453.25,7.83,2,512,0.4094707520891365,0.6434090482933421,0.5137294058911632
118,CM,Canadian Imperial Bank of Commerce,54,2,1.98,22.245,-100.0,2.28,1,511,0.2284122562674095,0.8718147666802449,0.4583125312031951
221,CRWD,"CrowdStrike Holdings, Inc.",322,1,2.38,1565.543585,79.38,25.84,2,512,0.33983286908078,0.987798964172793,0.693559660509236
383,TAP.A,Molson Coors Beverage Company,62,3,1.92,47.86239398,-31.08,1.14,3,513,0.2116991643454039,0.9163773204275212,0.4469296055916125
80,NEE,NextEra Energy,62,1,2.81,31.255,-100.0,2.37,3,513,0.4596100278551532,0.8718147666802449,0.4592111832251622
448,MMSI,"Merit Medical Systems, Inc.",75,3,1.86,39.87419973,-88.59,5.5,2,512,0.1949860724233983,0.8791922875487364,0.4904643035446829
10,V,Visa Inc.,262,1,3.05,129.7601194,-102.2,10.5,2,512,0.5264623955431755,0.870392282376066,0.5403894158761857
276,MSI,"Motorola Solutions, Inc.",335,1,2.25,127.5829747,-162.9,5.68,2,512,0.3036211699164345,0.8311446472562217,0.492261607588617
385,INCY,Incyte Corporation,60,3,3.28,65.0516606,7.73,10.68,3,513,0.5905292479108636,0.9414712367207856,0.5421867199201198
249,MPC,Marathon Petroleum Corporation,179,1,2.7,0.1,-179450.0,-7.03,2,512,0.4289693593314764,0.0,0.365351972041937
423,TFX,Teleflex Incorporated,224,3,2.35,122.3068571,-83.47,5.5,3,513,0.3314763231197772,0.8825027964748252,0.4904643035446829
114,WMB,The Williams Companies,64,2,2.47,4.000765019,-766.33,-0.84,2,512,0.3649025069637884,0.4409766001331962,0.4271592611083374
452,POR,Portland General Electric Company,51,3,1.97,20.765,-100.0,4.34,3,513,0.2256267409470752,0.8718147666802449,0.4788816774837742
77,COP,Conoco Phillips,111,1,3.15,0.1,-111750.0,7.86,3,513,0.5543175487465182,0.0,0.5140289565651522
282,CTSH,Cognizant Technology Solutions Corporation,76,2,2.84,57.12493247,-34.39,5.11,2,512,0.467966573816156,0.9142371281335064,0.4865701447828257
323,MTD,Mettler-Toledo International Inc.,1313,2,2.42,392.1798878,,5.43,1,511,0.350974930362117,0.0,0.4897653519720419
125,LEN,Lennar,145,2,3.62,139.3605085,-4.16,4.44,2,512,0.6852367688022284,0.9337833556404735,0.4798801797304043
79,AMAT,Applied Materials,156,1,3.21,81.96065995,-91.54,9.92,2,512,0.5710306406685236,0.8772848654135873,0.5345981028457314
290,MPWR,"Monolithic Power Systems, Inc.",732,2,3.99,231.7708687,-215.92,20.21,1,511,0.7883008356545962,0.7968627755255109,0.637343984023964
91,T,AT&T Inc.,16,1,1.16,19.29343651,14.74,1.26,3,513,0.0,0.9460037889809192,0.4481278082875686
